genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.01	fmsi	local	19	4	1323083	1000000	8161355	fmsi.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	0.01	fmsi	local	19	5	1323083	1000000	7996875	fmsi.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	0.01	cbl	none	19	na	1323083	1000000	10406951	cbl.escherichia_coli.k32.S_none.k_19.d_na
escherichia_coli.k32	0.01	sbwt	none	19	0	1323083	1000000	13484760	sbwt.escherichia_coli.k32.S_none.k_19.d_0
escherichia_coli.k32	0.01	sbwt	none	19	1	1323083	1000000	7549208	sbwt.escherichia_coli.k32.S_none.k_19.d_1
escherichia_coli.k32	0.01	sbwt	none	19	2	1323083	1000000	10616058	sbwt.escherichia_coli.k32.S_none.k_19.d_2
escherichia_coli.k32	0.01	bwa	prophasm	19	na	1323083	1000000	83748809	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.01	SSHash	prophasm	19	na	1323083	1000000	11794516	sshash.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.01	FMSIv02	global	21	na	1379290	1000000	4416678	FMSIv02.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.01	fmsi	global	21	na	1379290	1000000	4991915	fmsi.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.01	FMSIv02	local	21	1	1379290	1000000	8422327	FMSIv02.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	0.01	FMSIv02	local	21	2	1379290	1000000	8348031	FMSIv02.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.01	FMSIv02	local	21	3	1379290	1000000	8277007	FMSIv02.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.01	FMSIv02	local	21	4	1379290	1000000	8206600	FMSIv02.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.01	FMSIv02	local	21	5	1379290	1000000	8130016	FMSIv02.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.01	fmsi	local	21	1	1379290	1000000	9627211	fmsi.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	0.01	fmsi	local	21	2	1379290	1000000	9536659	fmsi.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.01	fmsi	local	21	3	1379290	1000000	9453203	fmsi.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.01	fmsi	local	21	4	1379290	1000000	9370411	fmsi.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.01	fmsi	local	21	5	1379290	1000000	9282971	fmsi.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.01	cbl	none	21	na	1379290	1000000	10562010	cbl.escherichia_coli.k32.S_none.k_21.d_na
escherichia_coli.k32	0.01	sbwt	none	21	0	1379290	1000000	16852440	sbwt.escherichia_coli.k32.S_none.k_21.d_0
escherichia_coli.k32	0.01	sbwt	none	21	1	1379290	1000000	9252568	sbwt.escherichia_coli.k32.S_none.k_21.d_1
escherichia_coli.k32	0.01	sbwt	none	21	2	1379290	1000000	12671098	sbwt.escherichia_coli.k32.S_none.k_21.d_2
escherichia_coli.k32	0.01	bwa	prophasm	21	na	1379290	1000000	92230990	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.01	SSHash	prophasm	21	na	1379290	1000000	13183384	sshash.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.01	FMSIv02	global	23	na	1430736	1000000	5277143	FMSIv02.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.01	fmsi	global	23	na	1430736	1000000	5978163	fmsi.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.01	FMSIv02	local	23	1	1430736	1000000	9502504	FMSIv02.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.01	FMSIv02	local	23	2	1430736	1000000	9419264	FMSIv02.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.01	FMSIv02	local	23	3	1430736	1000000	9339192	FMSIv02.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.01	FMSIv02	local	23	4	1430736	1000000	9259520	FMSIv02.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.01	FMSIv02	local	23	5	1430736	1000000	9182304	FMSIv02.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.01	fmsi	local	23	1	1430736	1000000	10865163	fmsi.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.01	fmsi	local	23	2	1430736	1000000	10764139	fmsi.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.01	fmsi	local	23	3	1430736	1000000	10667611	fmsi.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.01	fmsi	local	23	4	1430736	1000000	10574099	fmsi.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.01	fmsi	local	23	5	1430736	1000000	10483659	fmsi.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.01	cbl	none	23	na	1430736	1000000	12191691	cbl.escherichia_coli.k32.S_none.k_23.d_na
escherichia_coli.k32	0.01	sbwt	none	23	0	1430736	1000000	20394008	sbwt.escherichia_coli.k32.S_none.k_23.d_0
escherichia_coli.k32	0.01	sbwt	none	23	1	1430736	1000000	11038648	sbwt.escherichia_coli.k32.S_none.k_23.d_1
escherichia_coli.k32	0.01	sbwt	none	23	2	1430736	1000000	14791506	sbwt.escherichia_coli.k32.S_none.k_23.d_2
escherichia_coli.k32	0.01	bwa	prophasm	23	na	1430736	1000000	100763590	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.01	SSHash	prophasm	23	na	1430736	1000000	14575344	sshash.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.01	FMSIv02	global	31	na	1622989	1000000	8889047	FMSIv02.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.01	fmsi	global	31	na	1622989	1000000	10102451	fmsi.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.01	FMSIv02	local	31	1	1622989	1000000	14226377	FMSIv02.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	0.01	FMSIv02	local	31	2	1622989	1000000	14098881	FMSIv02.escherichia_coli.k32.S_local.k_31.d_2
escherichia_coli.k32	0.01	FMSIv02	local	31	3	1622989	1000000	13974801	FMSIv02.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	0.01	FMSIv02	local	31	4	1622989	1000000	13852057	FMSIv02.escherichia_coli.k32.S_local.k_31.d_4
escherichia_coli.k32	0.01	FMSIv02	local	31	5	1622989	1000000	13733769	FMSIv02.escherichia_coli.k32.S_local.k_31.d_5
